file_name,seq_name,len,A,A_rel_freq,T,T_rel_freq,C,G_rel_freq,G,G_rel_freq,N,N_rel_freq,P,P_rel_freq
atp1.fasta,DRR001187_REF_Exon_atp1,1510,450,29.801325,390,25.827815,306,20.264901,364,24.105960,0,0.000000,0,0.000000
atp1.fasta,DRR022930_REF_Exon_atp1,1507,438,29.064366,387,25.680159,312,20.703384,370,24.552090,0,0.000000,0,0.000000
atp1.fasta,EleusineRD_REF_Exon_atp1,1507,450,29.860650,393,26.078301,301,19.973457,363,24.087591,0,0.000000,0,0.000000
atp1.fasta,ERR105060_REF_Exon_atp1,1224,49,4.003268,33,2.696078,29,2.369281,27,2.205882,1046,85.457516,40,3.267974
atp1.fasta,ERR1333447_REF_Exon_atp1,1510,449,29.735099,392,25.960265,306,20.264901,363,24.039735,0,0.000000,0,0.000000
atp1.fasta,ERR1333448_REF_Exon_atp1,1510,449,29.735099,392,25.960265,306,20.264901,363,24.039735,0,0.000000,0,0.000000
atp1.fasta,ERR1333449_REF_Exon_atp1,1510,449,29.735099,392,25.960265,306,20.264901,363,24.039735,0,0.000000,0,0.000000
atp1.fasta,ERR1333450_REF_Exon_atp1,1510,449,29.735099,392,25.960265,306,20.264901,363,24.039735,0,0.000000,0,0.000000
atp1.fasta,ERR1333451_REF_Exon_atp1,1510,449,29.735099,392,25.960265,306,20.264901,363,24.039735,0,0.000000,0,0.000000
atp1.fasta,ERR1333452_REF_Exon_atp1,1510,449,29.735099,392,25.960265,306,20.264901,363,24.039735,0,0.000000,0,0.000000
atp1.fasta,ERR1333453_REF_Exon_atp1,1510,449,29.735099,392,25.960265,306,20.264901,363,24.039735,0,0.000000,0,0.000000
atp1.fasta,ERR424847_REF_Exon_atp1,1510,450,29.801325,388,25.695364,307,20.331126,365,24.172185,0,0.000000,0,0.000000
atp1.fasta,ERR424867_REF_Exon_atp1,1510,450,29.801325,389,25.761589,307,20.331126,364,24.105960,0,0.000000,0,0.000000
atp1.fasta,ERR426382_REF_Exon_atp1,1510,450,29.801325,388,25.695364,307,20.331126,365,24.172185,0,0.000000,0,0.000000
atp1.fasta,ERR463920_REF_Exon_atp1,1510,451,29.867550,388,25.695364,307,20.331126,364,24.105960,0,0.000000,0,0.000000
atp1.fasta,ERR634929_REF_Exon_atp1,1289,0,0.000000,0,0.000000,0,0.000000,0,0.000000,325,25.213344,964,74.786656
atp1.fasta,SRR1158316_REF_Exon_atp1,1510,450,29.801325,393,26.026490,304,20.132450,363,24.039735,0,0.000000,0,0.000000
atp1.fasta,SRR1264534_REF_Exon_atp1,1277,40,3.132341,29,2.270948,25,1.957713,28,2.192639,10,0.783085,1145,89.663273
atp1.fasta,SRR1264538_REF_Exon_atp1,1510,450,29.801325,390,25.827815,306,20.264901,364,24.105960,0,0.000000,0,0.000000
atp1.fasta,SRR1264539_REF_Exon_atp1,1510,449,29.735099,391,25.894040,306,20.264901,364,24.105960,0,0.000000,0,0.000000
atp1.fasta,SRR1298773_REF_Exon_atp1,1484,254,17.115903,238,16.037736,189,12.735849,249,16.778976,554,37.331536,0,0.000000
atp1.fasta,SRR1528439_REF_Exon_atp1,1510,452,29.933775,389,25.761589,306,20.264901,363,24.039735,0,0.000000,0,0.000000
atp1.fasta,SRR1634980_REF_Exon_atp1,1510,433,28.675497,379,25.099338,291,19.271523,352,23.311258,55,3.642384,0,0.000000
atp1.fasta,SRR1712656_REF_Exon_atp1,931,0,0.000000,0,0.000000,0,0.000000,0,0.000000,911,97.851772,20,2.148228
atp1.fasta,SRR1712660_REF_Exon_atp1,444,0,0.000000,0,0.000000,0,0.000000,0,0.000000,410,92.342342,34,7.657658
atp1.fasta,SRR1712907_REF_Exon_atp1,1135,28,2.466960,17,1.497797,21,1.850220,16,1.409692,970,85.462555,83,7.312775
atp1.fasta,SRR1712979_REF_Exon_atp1,936,0,0.000000,0,0.000000,0,0.000000,0,0.000000,68,7.264957,868,92.735043
atp1.fasta,SRR1795953_REF_Exon_atp1,548,0,0.000000,0,0.000000,0,0.000000,0,0.000000,362,66.058394,186,33.941606
atp1.fasta,SRR1800492_REF_Exon_atp1,1510,449,29.735099,390,25.827815,308,20.397351,363,24.039735,0,0.000000,0,0.000000
atp1.fasta,SRR1801598_REF_Exon_atp1,1510,449,29.735099,390,25.827815,308,20.397351,363,24.039735,0,0.000000,0,0.000000
atp1.fasta,SRR191818_REF_Exon_atp1,1510,447,29.602649,391,25.894040,308,20.397351,364,24.105960,0,0.000000,0,0.000000
atp1.fasta,SRR2083764_REF_Exon_atp1,1507,449,29.794293,394,26.144658,303,20.106171,361,23.954877,0,0.000000,0,0.000000
